1189,3828,14,"9250","96.865","12.000","0.000"
1190,8853,14,"9564","101.709","12.000","0.000"
1191,6552,14,"205","92.885","24.000","0.000"
1192,5576,14,"182","40.354","24.000","0.000"
1193,5052,14,"9871","1.050","0.000","0.000"
1194,8549,14,"9121","3.348","0.000","0.000"
1195,5051,14,"9868","0.969","0.000","0.000"
1197,761,14,"239","109.782","24.000","0.000"
1198,764,14,"238","109.782","24.000","0.000"
1199,4501,14,"3090","26.470","16.000","0.000"
1200,8852,14,"1432","8.342","0.000","0.000"
1201,9482,14,"10148","5.910","0.000","0.000"
1202,9439,14,"2211","7.212","0.000","0.000"
1203,10916,14,"2252","9.580","0.000","0.000"
1204,9727,14,"11246","39.900","12.000","0.000"
1205,3047,14,"3703","44.470","24.000","0.000"
1206,3023,14,"3701","44.260","24.000","0.000"
1207,427,14,"3711","44.260","24.000","0.000"
1209,11500,14,"13952","5.673","96.000","0.000"
1210,11273,14,"6134","25.726","16.000","0.000"
1211,9069,14,"5587","2.250","0.000","0.000"
1212,1396,14,"5585","3.326","0.000","0.000"
1214,3480,14,"39","42.518","24.000","0.000"
1215,9777,14,"12931","56.942","24.000","0.000"
1216,8023,14,"4939","37.986","24.000","0.000"
1217,8022,14,"4938","37.986","24.000","0.000"
1218,4397,14,"72","62.420","12.000","0.000"
1219,2898,14,"71","71.032","24.000","0.000"
1220,11501,14,"2734","16.760","0.000","0.000"
1221,11502,14,"16599","7.524","0.000","0.000"
1222,7323,4,"000253003239","9.460","0.000","0.000"
1223,7322,4,"000253001170","9.460","0.000","0.000"
1224,7321,4,"000253001163","9.460","0.000","0.000"
1225,2235,4,"000253002592","7.330","0.000","0.000"
1226,3359,4,"000253002561","7.330","0.000","0.000"
1227,6619,4,"000253002430","7.330","0.000","0.000"
1228,11503,4,"000253004977","4.240","0.000","0.000"
1229,7754,4,"000253005219","4.240","0.000","0.000"
1230,11504,4,"000253006810","4.240","0.000","0.000"
1231,7598,4,"000253005226","4.240","0.000","0.000"
1232,1825,4,"000253147406","5.000","0.000","0.000"
1233,11505,4,"002656902074","9.460","0.000","0.000"
1241,11513,4,"002002971086","6.710","0.000","0.000"
1244,3360,4,"000253002639","7.900","0.000","0.000"
1245,11516,4,"000253002585","7.900","0.000","0.000"
1246,8704,4,"000253002461","7.900","0.000","0.000"
1247,11517,4,"000253004731","7.900","0.000","0.000"
1248,9092,4,"000253008630","5.050","0.000","0.000"
1249,11518,4,"000253004984","5.050","0.000","0.000"
1250,1556,5,"1000090PZ","1.611","0.000","0.000"
1251,96,5,"1200422CP","1.437","0.000","0.000"
1252,8336,5,"1000046PZ","1.555","0.000","0.000"
